Player,Previous_Season_Archetype,New_Season_Archetype,Changed Archetype?,Previous_Cluster,New_Cluster,Key Statistical Changes,Notes / Interpretation
Alex Sarr,Defensive Rim Protectors,Defensive Rim Protectors,FALSE,1,1,3PA down 1.19 z; PF down 1.02 z; 3P down 0.90 z; FGA down 0.59 z; TOV down 0.56 z,Archetype stayed the same; biggest standardized shifts: 3PA down 1.19 z; PF down 1.02 z; 3P down 0.90 z; FGA down 0.59 z; TOV down 0.56 z
Alperen Şengün,Interior Bigs,Interior Bigs,FALSE,3,3,Trp-Dbl down 1.30 z; TRB down 0.82 z; ORB down 0.78 z; DRB down 0.76 z; PF up 0.72 z,Archetype stayed the same; biggest standardized shifts: Trp-Dbl down 1.30 z; TRB down 0.82 z; ORB down 0.78 z; DRB down 0.76 z; PF up 0.72 z
Anthony Edwards,Primary Shot Creators,Primary Shot Creators,FALSE,7,7,3PA down 1.86 z; 3P down 1.78 z; FGA down 1.31 z; TOV down 1.25 z; DRB down 0.93 z,Archetype stayed the same; biggest standardized shifts: 3PA down 1.86 z; 3P down 1.78 z; FGA down 1.31 z; TOV down 1.25 z; DRB down 0.93 z
Bam Adebayo,Interior Bigs,Interior Bigs,FALSE,3,3,3PA up 1.12 z; PF down 0.95 z; TOV down 0.77 z; FTA up 0.76 z; FT up 0.74 z,Archetype stayed the same; biggest standardized shifts: 3PA up 1.12 z; PF down 0.95 z; TOV down 0.77 z; FTA up 0.76 z; FT up 0.74 z
Bilal Coulibaly,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,TOV down 0.81 z; ORB down 0.69 z; BLK up 0.50 z; AST down 0.37 z; Trp-Dbl down 0.32 z,Archetype stayed the same; biggest standardized shifts: TOV down 0.81 z; ORB down 0.69 z; BLK up 0.50 z; AST down 0.37 z; Trp-Dbl down 0.32 z
Bobby Portis,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,3P up 1.09 z; 3PA up 0.73 z; FG up 0.63 z; FGA up 0.54 z; BLK down 0.42 z,Archetype stayed the same; biggest standardized shifts: 3P up 1.09 z; 3PA up 0.73 z; FG up 0.63 z; FGA up 0.54 z; BLK down 0.42 z
Bub Carrington,Perimeter Shooters and Secondary Guards,Perimeter Shooters and Secondary Guards,FALSE,2,2,TOV up 0.83 z; 3P up 0.54 z; DRB down 0.48 z; TRB down 0.35 z; PF down 0.24 z,Archetype stayed the same; biggest standardized shifts: TOV up 0.83 z; 3P up 0.54 z; DRB down 0.48 z; TRB down 0.35 z; PF down 0.24 z
CJ McCollum,Perimeter Shooters and Secondary Guards,Perimeter Shooters and Secondary Guards,FALSE,2,2,STL up 0.58 z; FT up 0.56 z; FG up 0.55 z; FGA up 0.54 z; TOV up 0.53 z,Archetype stayed the same; biggest standardized shifts: STL up 0.58 z; FT up 0.56 z; FG up 0.55 z; FGA up 0.54 z; TOV up 0.53 z
Cade Cunningham,Primary Shot Creators,Primary Shot Creators,FALSE,7,7,Trp-Dbl down 2.92 z; TOV down 1.25 z; FGA down 0.92 z; FG down 0.92 z; 2PA down 0.92 z,Archetype stayed the same; biggest standardized shifts: Trp-Dbl down 2.92 z; TOV down 1.25 z; FGA down 0.92 z; FG down 0.92 z; 2PA down 0.92 z
Cason Wallace,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,STL up 1.03 z; 3PA up 0.48 z; 3P up 0.41 z; FGA up 0.33 z; FTA up 0.26 z,Archetype stayed the same; biggest standardized shifts: STL up 1.03 z; 3PA up 0.48 z; 3P up 0.41 z; FGA up 0.33 z; FTA up 0.26 z
Davion Mitchell,Low-Usage Role Players,Low-Usage Role Players,FALSE,4,4,AST up 0.63 z; TOV down 0.40 z; FG up 0.25 z; 2P up 0.22 z; FGA up 0.19 z,Archetype stayed the same; biggest standardized shifts: AST up 0.63 z; TOV down 0.40 z; FG up 0.25 z; 2P up 0.22 z; FGA up 0.19 z
De'Aaron Fox,Versatile Two-Way Forwards,Versatile Two-Way Forwards,FALSE,6,6,FT down 0.72 z; FTA down 0.58 z; 2PA down 0.55 z; FGA down 0.41 z; AST up 0.38 z,Archetype stayed the same; biggest standardized shifts: FT down 0.72 z; FTA down 0.58 z; 2PA down 0.55 z; FGA down 0.41 z; AST up 0.38 z
